organization,occurredAt,customerId,customerName,serviceLocationId,serviceLocationDescription,containerId,containerDescription,containerContentType,containerCubicYards,level,wasEmptied,emptyOccurredAt,levelAtEmpty,latitude,longitude,positionAccuracy,imageUrl
universityofmaryland,2020-03-16T02:46:56.101Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,,f,,,38.992496,-76.950523,24,https://images.compology.com/1/raw_device_data/b8d123ad-099d-495b-ba98-824a585281f4
universityofmaryland,2020-03-16T02:48:43.571Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,35,f,,,38.979614,-76.925643,30,https://images.compology.com/1/raw_device_data/131faf62-f33e-475e-a766-f7a3b99b7f38
universityofmaryland,2020-03-16T02:48:59.106Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,0,f,,,38.983684,-76.947402,29,https://images.compology.com/1/raw_device_data/eb7c5976-d4af-4973-ada3-61f8a18563cf
universityofmaryland,2020-03-16T02:49:30.780Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,15,f,,,38.979408,-76.925491,21,https://images.compology.com/1/raw_device_data/67df1661-5d4d-464f-a6b5-8fe1ce4ae98d
universityofmaryland,2020-03-16T02:49:48.083Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,25,f,,,38.990215,-76.945686,23,https://images.compology.com/1/raw_device_data/5c8ebbe0-8e65-41b5-9e51-bb9422595dca
universityofmaryland,2020-03-16T03:49:30.934Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,35,f,,,38.976478,-76.925277,18,https://images.compology.com/1/raw_device_data/d0f4d21f-27f3-48b2-9b73-4aa192e8da4a
universityofmaryland,2020-03-16T03:52:22.623Z,,University of Maryland,02,Van Munching Hall,D7CA3VQWCBEG,05,recycle,6,17,f,,,38.983654,-76.947906,8.8,https://images.compology.com/1/raw_device_data/ba46debb-71a4-4bc1-b2ce-a4617675df1a
universityofmaryland,2020-03-16T17:57:00.921Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,40,f,,,38.976421,-76.925643,28,https://images.compology.com/1/raw_device_data/7076b3e3-3d03-4b07-b038-931a8bc49bdc
universityofmaryland,2020-03-16T17:57:34.156Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,25,f,,,38.979473,-76.925529,20,https://images.compology.com/1/raw_device_data/6f1395f1-369b-4065-82f5-dc5ac284fb5e
universityofmaryland,2020-03-16T17:58:34.898Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,5,f,,,38.990158,-76.945701,20,https://images.compology.com/1/raw_device_data/ebe758ce-57e2-4422-994e-08fdd7e8b4c3
universityofmaryland,2020-03-16T17:58:42.007Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,20,f,,,38.976615,-76.925506,27,https://images.compology.com/1/raw_device_data/82b459fd-1f51-404a-b273-ffb5bc6bab60
universityofmaryland,2020-03-16T17:58:58.424Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,5,f,,,38.983734,-76.947845,29,https://images.compology.com/1/raw_device_data/9cb6728e-d4a1-4d62-9dc7-22e43d879523
universityofmaryland,2020-03-16T17:59:07.027Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,45,f,,,38.979526,-76.925552,30,https://images.compology.com/1/raw_device_data/0ce4b27b-45f7-483f-bb63-0dda61c8bfa1
universityofmaryland,2020-03-16T17:59:09.400Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,15,f,,,38.992431,-76.950508,27,https://images.compology.com/1/raw_device_data/8c4f2740-c5e8-48fd-815a-7b471854219b
universityofmaryland,2020-03-16T17:59:12.541Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,25,f,,,38.990161,-76.945694,28,https://images.compology.com/1/raw_device_data/8fbe6dcf-aac8-4806-8b23-2879fc036e54
universityofmaryland,2020-03-16T17:59:35.494Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,,f,,,38.99213,-76.951011,30,https://images.compology.com/1/raw_device_data/1a8fa288-16a3-40de-a518-72086d320d46
universityofmaryland,2020-03-16T22:36:49.513Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,40,f,,,38.976154,-76.925453,29,https://images.compology.com/1/raw_device_data/f1a2e0ae-d079-4331-874e-84ef9c7bc8bd
universityofmaryland,2020-03-16T22:37:26.573Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,20,f,,,38.979473,-76.925659,17,https://images.compology.com/1/raw_device_data/26d0dd53-8786-4ff9-9571-d36e53106ddf
